,Year,Australia,Canada,France,Germany,Italy,Japan,Mexico,South Korea,UK,USA,Total,M̩dia
0,1990,,1.87,3.63,2.65,4.59,3.16,1.0,2.05,2.82,1.16,,
1,1991,1.96,1.92,3.45,2.9,4.5,3.46,1.3,2.49,3.01,1.14,9.469999999999999,3.1566666666666663
2,1992,1.89,1.73,3.56,3.27,4.53,3.58,1.5,2.65,3.06,1.13,9.48,3.16
3,1993,1.73,1.57,3.41,3.07,3.68,4.16,1.56,2.88,2.84,1.11,8.25,2.75
4,1994,1.84,1.45,3.59,3.52,3.7,4.36,1.48,2.87,2.99,1.11,8.530000000000001,2.8433333333333337
5,1995,1.95,1.53,4.26,3.96,4.0,4.43,1.11,2.94,3.21,1.15,9.16,3.0533333333333332
6,1996,2.12,1.61,4.41,3.94,4.39,3.64,1.25,3.18,3.34,1.23,9.85,3.283333333333333
7,1997,2.05,1.62,4.0,3.53,4.07,3.26,1.47,3.34,3.83,1.23,9.95,3.3166666666666664
8,1998,1.63,1.38,3.87,3.34,3.84,2.82,1.49,3.04,4.06,1.06,9.53,3.1766666666666663
9,1999,1.72,1.52,3.85,3.42,3.87,3.27,1.79,3.8,4.29,1.17,9.88,3.2933333333333334
10,2000,1.94,1.86,3.8,3.45,3.77,3.65,2.01,4.18,4.58,1.51,10.29,3.4299999999999997
11,2001,1.71,1.72,3.51,3.4,3.57,3.27,2.2,3.76,4.13,1.46,9.41,3.1366666666666667
12,2002,1.76,1.69,3.62,3.67,3.74,3.15,2.24,3.84,4.16,1.36,9.66,3.22
13,2003,2.19,1.99,4.35,4.59,4.53,3.47,2.04,4.11,4.7,1.59,11.42,3.8066666666666666
14,2004,2.72,2.37,4.99,5.24,5.29,3.93,2.03,4.51,5.56,1.88,13.57,4.523333333333333
15,2005,3.23,2.89,5.46,5.66,5.74,4.28,2.22,5.28,5.97,2.3,14.940000000000001,4.98
16,2006,3.54,3.26,5.88,6.03,6.1,4.47,2.31,5.92,6.36,2.59,16.0,5.333333333333333
17,2007,3.85,3.59,6.6,6.88,6.73,4.49,2.4,6.21,7.13,2.8,17.71,5.903333333333333
18,2008,4.45,4.08,7.51,7.75,7.63,5.74,2.45,5.83,7.42,3.27,19.5,6.5
